id,answer,num1,op,num2
TRAIN00000.jpg,-6.00,2,minus,8
TRAIN00001.jpg,8.00,8,divide,1
TRAIN00002.jpg,-7.00,1,minus,8
TRAIN00003.jpg,7.00,7,times,1
TRAIN00004.jpg,-3.00,0,minus,3
TRAIN00005.jpg,12.00,4,plus,8
TRAIN00006.jpg,0.00,3,minus,3
TRAIN00007.jpg,-2.00,5,minus,7
TRAIN00008.jpg,-2.00,0,minus,2
TRAIN00009.jpg,0.00,8,times,0
TRAIN00010.jpg,7.00,7,divide,1
TRAIN00011.jpg,-3.00,5,minus,8
TRAIN00012.jpg,-9.00,0,minus,9
TRAIN00013.jpg,2.00,2,plus,0
TRAIN00014.jpg,12.00,5,plus,7
TRAIN00015.jpg,3.00,4,minus,1
TRAIN00016.jpg,0.00,2,minus,2
TRAIN00017.jpg,6.00,0,plus,6
TRAIN00018.jpg,6.00,6,times,1
TRAIN00019.jpg,48.00,6,times,8
TRAIN00020.jpg,1.29,9,divide,7
TRAIN00021.jpg,-5.00,2,minus,7
TRAIN00022.jpg,8.00,7,plus,1
TRAIN00023.jpg,2.00,1,plus,1
TRAIN00024.jpg,0.00,4,minus,4
TRAIN00025.jpg,2.00,4,divide,2
TRAIN00026.jpg,0.43,3,divide,7
TRAIN00027.jpg,15.00,5,times,3
TRAIN00028.jpg,2.00,2,times,1
TRAIN00029.jpg,-8.00,0,minus,8
TRAIN00030.jpg,0.00,0,divide,2
TRAIN00031.jpg,0.00,2,minus,2
TRAIN00032.jpg,0.29,2,divide,7
TRAIN00033.jpg,10.00,1,plus,9
TRAIN00034.jpg,0.71,5,divide,7
TRAIN00035.jpg,1.00,8,minus,7
TRAIN00036.jpg,9.00,9,divide,1
TRAIN00037.jpg,0.00,8,minus,8
TRAIN00038.jpg,12.00,4,plus,8
TRAIN00039.jpg,0.83,5,divide,6
TRAIN00040.jpg,3.00,4,minus,1
TRAIN00041.jpg,6.00,0,plus,6
TRAIN00042.jpg,0.00,5,minus,5
TRAIN00043.jpg,12.00,2,times,6
TRAIN00044.jpg,13.00,5,plus,8
TRAIN00045.jpg,0.00,0,minus,0
TRAIN00046.jpg,8.00,5,plus,3
TRAIN00047.jpg,36.00,6,times,6
TRAIN00048.jpg,4.50,9,divide,2
TRAIN00049.jpg,8.00,8,times,1
TRAIN00050.jpg,11.00,3,plus,8
TRAIN00051.jpg,13.00,5,plus,8
TRAIN00052.jpg,1.00,1,plus,0
TRAIN00053.jpg,-4.00,4,minus,8
TRAIN00054.jpg,16.00,8,times,2
TRAIN00055.jpg,1.60,8,divide,5
TRAIN00056.jpg,-6.00,3,minus,9
TRAIN00057.jpg,13.00,8,plus,5
TRAIN00058.jpg,7.00,7,divide,1
TRAIN00059.jpg,2.00,8,divide,4
TRAIN00060.jpg,36.00,9,times,4
TRAIN00061.jpg,10.00,5,plus,5
TRAIN00062.jpg,2.00,0,plus,2
TRAIN00063.jpg,11.00,2,plus,9
TRAIN00064.jpg,25.00,5,times,5
TRAIN00065.jpg,4.00,0,plus,4
